Data,Descriere,Suma,Sold Curent
2025-01-11,PLATA POS Uber,-14.61,1985.39
2025-01-13,PLATA POS STB,-12.74,1972.65
2025-01-14,PLATA POS OMV PETROM,-12.54,1960.11
2025-01-15,PLATA POS MEGA IMAGE BUCURESTI,-70.31,1889.80
2025-01-16,PLATA POS Kaufland BUCURESTI,-69.59,1820.21
2025-01-17,PLATA POS MEGA IMAGE BUCURESTI,-21.26,1798.95
2025-01-17,PLATA POS Uber,-9.08,1789.87
2025-01-18,PLATA POS Carrefour Cluj-Napoca,-68.15,1721.72
2025-01-18,PLATA POS Tazz,-17.07,1704.65
2025-01-19,PLATA POS Auchan BUCURESTI,-73.98,1630.67
2025-01-21,PLATA POS Carrefour BUCURESTI,-37.82,1592.85
2025-01-23,PLATA POS Metrorex,-12.04,1580.81
2025-01-24,PLATA POS MEGA IMAGE BUCURESTI,-28.64,1552.17
2025-01-24,PLATA POS Bolt,-14.07,1538.10
2025-01-25,PLATA POS Carrefour BUCURESTI,-25.32,1512.78
2025-01-25,PLATA POS OMV PETROM,-3.52,1509.26
2025-01-26,PLATA POS STB,-9.78,1499.48
2025-01-27,PLATA POS Kaufland BUCURESTI,-50.45,1449.03
2025-01-29,PLATA POS Uber,-10.50,1438.53
2025-01-30,PLATA POS OMV PETROM,-6.49,1432.04
2025-01-31,PLATA POS Carrefour Sibiu,-29.48,1402.56
2025-01-31,PLATA POS Bolt,-13.91,1388.65
2025-01-31,PLATA POS Bolt Food,-21.78,1366.87
2025-02-02,PLATA POS Tazz,-22.01,1344.86
2025-02-04,PLATA POS Kaufland BUCURESTI,-58.25,1286.61
2025-02-04,PLATA POS STB,-13.15,1273.46
2025-02-05,INCASARE SALARIU PFA/CIM,1544.04,2817.50
2025-02-06,PLATA CHIRIE TRANSFER BANCAR,-450.00,2367.50
2025-02-07,PLATA CARD Spotify,-4.99,2362.51
2025-02-08,PLATA POS OMV PETROM,-13.87,2348.64
2025-02-09,PLATA POS STB,-7.89,2340.75
2025-02-10,FACTURA RCS & RDS,-23.30,2317.45
2025-02-10,FACTURA E.ON ENERGIE,-55.43,2262.02
2025-02-10,FACTURA INTRETINERE BLOC,-97.31,2164.71
2025-02-10,PLATA POS STB,-13.98,2150.73
2025-02-11,PLATA POS Kaufland BUCURESTI,-79.37,2071.36
2025-02-12,PLATA POS LIDL BUCURESTI,-43.94,2027.42
2025-02-15,PLATA POS MEGA IMAGE BUCURESTI,-20.08,2007.34
2025-02-15,PLATA POS Uber,-9.52,1997.82
2025-02-15,PLATA POS Glovo,-14.42,1983.40
2025-02-16,PLATA POS MEGA IMAGE BUCURESTI,-61.29,1922.11
2025-02-18,PLATA POS Bolt Food,-29.33,1892.78
2025-02-19,PLATA POS Bolt,-10.65,1882.13
2025-02-21,PLATA POS Auchan BUCURESTI,-58.32,1823.81
2025-02-21,PLATA POS Bolt Food,-18.67,1805.14
