Data,Descriere,Suma,Sold Curent
2024-11-15,Incasare PFA Factura, 3627.80, 8627.80
2024-11-15,Plata POS OMV PETROM Braila,-879.90, 7747.90
2024-11-16,Plata POS EON GAZ Baicoi,-986.26, 6761.64
2024-11-16,Incasare Salariu Firma SRL, 1658.31, 8419.95
2024-11-17,Restituire Taxe, 3305.27, 11725.22
2024-11-17,Plata POS Farmacia Tei Talmaciu,-395.53, 11329.69
2024-11-19,Restituire Taxe, 1765.58, 13095.27
2024-11-19,Plata POS EON GAZ Vladimirescu,-968.45, 12126.82
2024-11-19,Incasare Salariu Firma SRL, 3760.05, 15886.87
2024-11-19,Incasare PFA Factura, 2009.65, 17896.52
2024-11-19,Plata POS Netflix Huedin,-950.72, 16945.80
2024-11-20,Plata POS OMV PETROM Valea Mare (Babeni),-277.33, 16668.47
2024-11-20,Plata POS OMV PETROM Oltenita,-235.94, 16432.53
2024-11-20,Plata POS Bolt Food Afumati,-807.17, 15625.36
2024-11-21,Transfer de la Popescu Ion, 3323.15, 18948.51
2024-11-21,Restituire Taxe, 154.18, 19102.69
2024-11-22,Plata POS OMV PETROM Sighetu Marmatiei,-461.88, 18640.81
2024-11-22,Plata POS ENEL Rasnov Romacril,-189.30, 18451.51
2024-11-22,Plata POS EON GAZ Cugir,-950.53, 17500.98
2024-11-22,Plata POS Carrefour Harsova,-910.40, 16590.58
2024-11-22,Plata POS MEGA IMAGE Floresti,-388.73, 16201.85
2024-11-23,Plata POS ENEL Slatina,-134.91, 16066.94
2024-11-24,Plata POS Carturesti Fundeni,-352.56, 15714.38
2024-11-24,Plata POS Farmacia Tei Valu lui Traian,-433.17, 15281.21
2024-11-25,Plata POS Netflix Chisineu-Cris,-461.31, 14819.90
2024-11-25,Plata POS EON GAZ Baciu,-920.03, 13899.87
2024-11-25,Plata POS Spotify Talmaciu,-587.45, 13312.42
2024-11-25,Plata POS Carrefour Beius,-609.76, 12702.66
2024-11-26,Plata POS Farmacia Tei Mangalia,-405.77, 12296.89
2024-11-26,Plata POS OMV PETROM Bailesti,-34.27, 12262.62
2024-11-27,Plata POS Bolt Food Cumpana,-693.05, 11569.57
2024-11-27,Plata POS EON GAZ Sighisoara,-895.04, 10674.53
2024-11-27,Plata POS LIDL Alba Iulia,-481.01, 10193.52
2024-11-29,Restituire Taxe, 2316.25, 12509.77
2024-11-30,Plata POS Spotify Roseti,-591.56, 11918.21
2024-11-30,Incasare Salariu Firma SRL, 1755.11, 13673.32
2024-12-01,Plata POS Glovo Teius,-715.67, 12957.65
2024-12-01,Plata POS EON GAZ Bocsa,-510.97, 12446.68
2024-12-04,Plata POS OMV PETROM Glina,-551.27, 11895.41
2024-12-04,Plata POS OMV PETROM Iernut,-559.24, 11336.17
2024-12-04,Incasare PFA Factura, 2987.30, 14323.47
2024-12-05,Incasare Salariu Firma SRL, 1424.03, 15747.50
2024-12-05,Plata POS Spotify Cugir,-101.32, 15646.18
2024-12-06,Plata POS LIDL Campia Turzii,-761.71, 14884.47
2024-12-06,Plata POS LIDL Gherla,-59.75, 14824.72
2024-12-07,Plata POS MEGA IMAGE Sannicolau Mare,-265.15, 14559.57
2024-12-07,Plata POS OMV PETROM Gaesti,-48.44, 14511.13
2024-12-07,Plata POS Carrefour Medgidia,-776.01, 13735.12
2024-12-07,Plata POS LIDL Gilau,-480.59, 13254.53
2024-12-07,Plata POS Bolt Food Vicovu de Jos,-404.87, 12849.66
2024-12-08,Plata POS MEGA IMAGE Rucar,-885.64, 11964.02
2024-12-08,Plata POS Glovo Giroc,-716.02, 11248.00
2024-12-08,Plata POS Carrefour Resita,-218.84, 11029.16
2024-12-08,Transfer de la Popescu Ion, 3943.88, 14973.04
2024-12-09,Plata POS Netflix Cumpana,-162.55, 14810.49
2024-12-09,Incasare Salariu Firma SRL, 2354.43, 17164.92
2024-12-09,Plata POS Carrefour Ploiesti,-846.66, 16318.26
2024-12-10,Plata POS LIDL Diosig,-51.48, 16266.78
2024-12-10,Plata POS Spotify Resita,-640.89, 15625.89
2024-12-10,Plata POS MEGA IMAGE Giarmata,-113.61, 15512.28
2024-12-11,Transfer de la Popescu Ion, 2050.95, 17563.23
2024-12-12,Plata POS MEGA IMAGE Simleu Silvaniei,-853.65, 16709.58
2024-12-12,Plata POS Carrefour Campina,-890.84, 15818.74
2024-12-12,Plata POS EON GAZ Constanta,-516.58, 15302.16
2024-12-12,Plata POS Netflix Dancu,-733.10, 14569.06
2024-12-12,Incasare PFA Factura, 160.42, 14729.48
2024-12-12,Plata POS MEGA IMAGE Targu Mures,-504.70, 14224.78
2024-12-13,Plata POS OMV PETROM Afumati,-214.44, 14010.34
2024-12-14,Transfer de la Popescu Ion, 4918.50, 18928.84
2024-12-14,Transfer de la Popescu Ion, 655.22, 19584.06
2024-12-15,Plata POS Carrefour Ruscova,-530.22, 19053.84
2024-12-15,Plata POS LIDL Fundulea,-485.19, 18568.65
2024-12-15,Incasare PFA Factura, 3033.01, 21601.66
2024-12-15,Plata POS Netflix Podu Iloaiei,-950.70, 20650.96
2024-12-15,Plata POS Spotify Corabia,-365.68, 20285.28
2024-12-15,Plata POS LIDL Sancraiu de Mures,-229.35, 20055.93
2024-12-16,Plata POS EON GAZ Iernut,-298.60, 19757.33
2024-12-17,Plata POS Glovo Gugesti,-781.65, 18975.68
2024-12-17,Plata POS LIDL Targu Frumos,-414.93, 18560.75
2024-12-18,Incasare Salariu Firma SRL, 2690.93, 21251.68
2024-12-18,Plata POS Netflix Giurgiu,-280.30, 20971.38
2024-12-18,Vanzare OLX, 2378.16, 23349.54
2024-12-18,Plata POS MEGA IMAGE Giurgiu,-698.60, 22650.94
2024-12-19,Plata POS LIDL Mangalia,-348.41, 22302.53
2024-12-19,Plata POS Spotify Fieni,-84.21, 22218.32
2024-12-19,Plata POS Carrefour Deva,-775.74, 21442.58
2024-12-19,Plata POS LIDL Tudora,-851.91, 20590.67
2024-12-20,Plata POS OMV PETROM Otelu Rosu,-791.01, 19799.66
2024-12-20,Plata POS Carturesti Sadova,-168.77, 19630.89
2024-12-20,Plata POS LIDL Lipova,-806.76, 18824.13
2024-12-21,Plata POS Carrefour Reghin,-263.08, 18561.05
2024-12-21,Plata POS Spotify Vladimirescu,-883.90, 17677.15
2024-12-21,Plata POS MEGA IMAGE Turnu Magurele,-409.50, 17267.65
2024-12-21,Plata POS Netflix Uricani,-187.51, 17080.14
2024-12-22,Plata POS Farmacia Tei Buhusi,-799.74, 16280.40
2024-12-23,Incasare Salariu Firma SRL, 4634.68, 20915.08
2024-12-23,Plata POS MEGA IMAGE Mangalia,-793.36, 20121.72
2024-12-24,Plata POS LIDL Dragasani,-152.28, 19969.44
2024-12-24,Plata POS Glovo Tuzla,-486.54, 19482.90
2024-12-24,Restituire Taxe, 1833.74, 21316.64
2024-12-25,Plata POS Carrefour Vicovu de Sus,-510.63, 20806.01
2024-12-25,Plata POS Netflix Lumina,-643.52, 20162.49
2024-12-25,Plata POS Netflix Pecica,-82.54, 20079.95
2024-12-26,Plata POS ENEL Rovinari,-804.02, 19275.93
2024-12-26,Plata POS Netflix Galati,-739.85, 18536.08
2024-12-27,Plata POS Farmacia Tei Sibiu,-493.95, 18042.13
2024-12-27,Plata POS LIDL Plosca,-683.31, 17358.82
2024-12-28,Plata POS Farmacia Tei Sadova,-165.94, 17192.88
2024-12-29,Plata POS Bolt Food Caransebes,-798.33, 16394.55
2024-12-29,Plata POS LIDL Darmanesti,-285.95, 16108.60
2024-12-29,Transfer de la Popescu Ion, 3698.87, 19807.47
